name,member,plate,weld,bolt_group,a
FEP218,SWC 410UB59.7 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP219,SWC 410UB53.7 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP220,SWC 380PFC (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP221,SWC 360UB56.7 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP222,SWC 360UB50.7 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP223,SWC 360UB44.7 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP224,SWC 310UB46.2 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP225,SWC 310UB40.4 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP226,SWC 310UB32.0 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP227,SWC 300PFC (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP228,SWC 310UC158 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP229,SWC 310UC137 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP230,SWC 310UC118 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP231,SWC 310UC96.8 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,3x2 (70px90g) 35 M20 8.8/S (TI),100
FEP232,SWC 250UB37.3 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),100
FEP233,SWC 250UB31.4 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),100
FEP234,SWC 250UB25.7 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),100
FEP235,SWC 250PFC (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),100
FEP236,SWC 250UC89.5 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),100
FEP237,SWC 250UC72.9 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),100
FEP238,SWC 200UB29.8 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),70
FEP239,SWC 200UB25.4 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),70
FEP240,SWC 200UB22.3 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),70
FEP241,SWC 200UB18.2 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),70
FEP242,SWC 230PFC (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),70
FEP243,SWC 200PFC (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),70
FEP244,SWC 200UC59.5 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),70
FEP245,SWC 200UC52.2 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),70
FEP246,SWC 200UC46.2 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,2x2 (70px90g) 35 M20 8.8/S (TI),70
FEP247,DWC 1200WB455 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP248,DWC 1200WB423 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP249,DWC 1200WB392 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP250,DWC 1200WB342 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP251,DWC 1200WB317 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP252,DWC 1200WB278 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP253,DWC 1200WB249 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP254,DWC 1000WB322 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP255,DWC 1000WB296 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP256,DWC 1000WB258 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP257,DWC 1000WB215 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP258,DWC 900WB282 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP259,DWC 900WB257 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP260,DWC 900WB218 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP261,DWC 900WB175 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP262,DWC 800WB192 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP263,DWC 800WB168 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP264,DWC 800WB146 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP265,DWC 800WB122 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP266,DWC 1200WB455 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP267,DWC 1200WB423 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP268,DWC 1200WB392 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP269,DWC 1200WB342 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP270,DWC 1200WB317 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
